"Story","Title","Result","Date","Stability","Duration (s)"
"agregar y eliminar productos del carro de compra","agregar productos al carro y eliminar exitosamente","SUCCESS","2022-12-15T22:53:47.106-05:00[America/Bogota]","0.0","132.69"
"realizar registro","registro exitoso","SUCCESS","2022-12-15T07:57:29.967-05:00[America/Bogota]","0.0","91.12"
